"Event","Media ID","Name","Business Name","Return Type","Total Amount"
"2004 Federal Election","4437","Country Leader","","Publisher","2720"
"2004 Federal Election","2328","Country News","Shepparton Newspapers Pty Ltd","Publisher","2770"
"2004 Federal Election","1480","Countryman","Countryman","Publisher","0"
"2004 Federal Election","1642","Cowra Guardian","Rural Press Pty Ltd","Publisher","6114"
"2004 Federal Election","1670","Cranbourne Independent","Independent News Pty Ltd","Publisher","906"
"2004 Federal Election","4126","Cranbourne Leader","Cranbourne Leader","Publisher","1690"
"2004 Federal Election","1493","Cranbourne News","South East Newspapers Pty Ltd","Publisher","2113"
"2004 Federal Election","4199","Crookwell Gazette","Regional Publishers P/L","Publisher","816"
"2004 Federal Election","4468","CTC","Australian Capital Television Pty Ltd","Broadcaster","331920"
"2004 Federal Election","5295","Daily Chinese Herald","Chinese Times Newspaper Pty Ltd","Publisher","10248"
"2004 Federal Election","107","Daily Liberal","Regional Publishers Pty Ltd","Publisher","2584"
"2004 Federal Election","5056","Daily Mercury","MacKay Printing and Publishing","Publisher","12882"
"2004 Federal Election","468","Daily News","Tweed Newspaper Company Pty Ltd","Publisher","11467"
"2004 Federal Election","5012","Dalby Herald","The Dalby Herald","Publisher","2092"
"2004 Federal Election","5254","Dandenong Examiner Independent","The Independent News Grop","Publisher","215"
"2004 Federal Election","4052","Delirra","Northern Territory Students Union","Publisher","0"
"2004 Federal Election","5332","Diamantina Shire Council","Diamantina Shire Council","Broadcaster","0"
"2004 Federal Election","4130","Diamond Valley Leader","Leader Community Newspapers","Publisher","8702"
"2004 Federal Election","5356","Discovery","Telstra Pay TV Pty Ltd","Broadcaster","22216"
"2004 Federal Election","5190","Discovery Channel","Foxtel","Broadcaster","22216"
"2004 Federal Election","110","Dungog Chronicle","Regional Publishers Pty Ltd","Publisher","5376"
"2004 Federal Election","5050","Eagle FM","Radio Goulburn Pty Ltd","Broadcaster","11608"
"2004 Federal Election","4986","Earthmover and Civil Contractor","Informa Australia Pty Ltd","Publisher","0"
"2004 Federal Election","288","East Gippsland News","James Yeates and Sons Pty Ltd","Publisher","3818"
"2004 Federal Election","5074","East Torrens Messenger","Messenger Press Pty Ltd","Publisher","4832"
"2004 Federal Election","4182","Eastern Courier Messenger","Messenger Press Pty Ltd","Publisher","23702"
"2004 Federal Election","5329","Eastern Suburbs Reporter","Community Newspaper Group","Publisher","27227"
"2004 Federal Election","5159","ECR 104.7FM","Eden Community Radio Inc","Broadcaster","0"
"2004 Federal Election","1644","Eden Magnet","Regional Publishers (Rural Press)","Publisher","5822"
"2004 Federal Election","5162","Edge FM 2BAR","Bega Community Radio","Broadcaster","0"
"2004 Federal Election","3194","Education","NSW teachers Federation","Publisher","0"
"2004 Federal Election","1260","El Telegraph","El Telegraph Newspaper","Publisher","10725"
"2004 Federal Election","5038","Electrical Contractor Connection","Connection Magazine Pty Ltd","Publisher","0"
"2004 Federal Election","4366","Entertainment Weekly","Toowoomba Newspapers","Publisher","634"
"2004 Federal Election","1989","Eureka Street","Eureka Street Pty Ltd","Publisher","0"
"2004 Federal Election","5265","Eurobodalla Radio 107.5FM","Eurobodalla Access Radio Inc","Broadcaster","0"
"2004 Federal Election","4997","Farm Weekly","Western Australian Primary Industry Press Pty Ltd","Publisher","3600"
